2026-06-01 23:32:54 | INFO | Loading clean Telco dataset
2026-06-02 00:38:51 | INFO | Loading clean Telco dataset
2026-06-02 00:41:17 | INFO | Dashboard saved to ..\data\charts\churn_dashboard.png
2026-06-02 00:51:04 | INFO | Loading clean Telco dataset
2026-06-02 00:51:05 | INFO | Dashboard saved to ..\data\charts\churn_dashboard.png
2026-06-02 00:51:06 | INFO | Heatmap saved to ..\data\charts\correlation_heatmap.png
2026-06-02 00:51:06 | INFO | Module 5 visualisation complete
2026-06-02 00:55:22 | INFO | Loading clean Telco dataset
2026-06-02 01:05:45 | INFO | Dashboard saved to ..\data\charts\churn_dashboard.png
2026-06-02 17:14:43 | INFO | Loading clean Telco dataset
2026-06-02 17:14:46 | INFO | Dashboard saved to ..\data\charts\churn_dashboard.png
2026-06-02 17:14:47 | INFO | Heatmap saved to ..\data\charts\correlation_heatmap.png
2026-06-02 17:14:47 | INFO | Module 5 visualisation complete
